Episode: 0, Total Reward: -444.75640542779365, Epsilon: 0.995
Episode: 1, Total Reward: -96.94006653212199, Epsilon: 0.990025
Episode: 2, Total Reward: -158.6740159894403, Epsilon: 0.985074875
Episode: 3, Total Reward: -121.28838951376841, Epsilon: 0.9801495006250001
Episode: 4, Total Reward: -92.13622152833247, Epsilon: 0.9752487531218751
Episode: 5, Total Reward: -86.71333806822963, Epsilon: 0.9703725093562657
Episode: 6, Total Reward: -197.4987164912901, Epsilon: 0.9655206468094844
Episode: 7, Total Reward: -116.47713015530277, Epsilon: 0.960693043575437
Episode: 8, Total Reward: -103.36256216826493, Epsilon: 0.9558895783575597
Episode: 9, Total Reward: -182.8394822287077, Epsilon: 0.9511101304657719
Episode: 10, Total Reward: -46.18371708174486, Epsilon: 0.946354579813443
Episode: 11, Total Reward: -113.58636864227927, Epsilon: 0.9416228069143757
Episode: 12, Total Reward: -214.0273389087821, Epsilon: 0.9369146928798039
Episode: 13, Total Reward: -118.03387159821456, Epsilon: 0.9322301194154049
Episode: 14, Total Reward: -106.47140981343908, Epsilon: 0.9275689688183278
Episode: 15, Total Reward: -178.99447457453033, Epsilon: 0.9229311239742362
Episode: 16, Total Reward: -102.91235329765951, Epsilon: 0.918316468354365
Episode: 17, Total Reward: -135.0690079665145, Epsilon: 0.9137248860125932
Episode: 18, Total Reward: -102.16098376898071, Epsilon: 0.9091562615825302
Episode: 19, Total Reward: -275.975226189444, Epsilon: 0.9046104802746175
Episode: 20, Total Reward: -136.4394522513009, Epsilon: 0.9000874278732445
Episode: 21, Total Reward: -88.70771787228695, Epsilon: 0.8955869907338783
Episode: 22, Total Reward: -106.22342411364897, Epsilon: 0.8911090557802088
Episode: 23, Total Reward: -217.4021816093415, Epsilon: 0.8866535105013078
Episode: 24, Total Reward: -220.52478789170686, Epsilon: 0.8822202429488013
Episode: 25, Total Reward: -107.54686017109911, Epsilon: 0.8778091417340573
Episode: 26, Total Reward: -98.58609586844038, Epsilon: 0.8734200960253871
Episode: 27, Total Reward: -106.10285861251388, Epsilon: 0.8690529955452602
Episode: 28, Total Reward: -242.4459499788023, Epsilon: 0.8647077305675338
Episode: 29, Total Reward: -314.2158204312214, Epsilon: 0.8603841919146962
Episode: 30, Total Reward: -53.74388352676276, Epsilon: 0.8560822709551227
Episode: 31, Total Reward: -107.05829955061901, Epsilon: 0.851801859600347
Episode: 32, Total Reward: -85.09870783598879, Epsilon: 0.8475428503023453
Episode: 33, Total Reward: -67.6592125139866, Epsilon: 0.8433051360508336
Episode: 34, Total Reward: -166.40774354782388, Epsilon: 0.8390886103705794
Episode: 35, Total Reward: -186.8256703330661, Epsilon: 0.8348931673187264
Episode: 36, Total Reward: -67.37198872494474, Epsilon: 0.8307187014821328
Episode: 37, Total Reward: -144.5447563587873, Epsilon: 0.8265651079747222
Episode: 38, Total Reward: -93.60358523102529, Epsilon: 0.8224322824348486
Episode: 39, Total Reward: -102.96189145780532, Epsilon: 0.8183201210226743
Episode: 40, Total Reward: -123.11670180672088, Epsilon: 0.8142285204175609
Episode: 41, Total Reward: -248.48858561013944, Epsilon: 0.810157377815473
Episode: 42, Total Reward: -127.84788112196466, Epsilon: 0.8061065909263957
Episode: 43, Total Reward: -86.2990600709855, Epsilon: 0.8020760579717637
Episode: 44, Total Reward: -148.9533212979677, Epsilon: 0.798065677681905
Episode: 45, Total Reward: -39.262708566203216, Epsilon: 0.7940753492934954
Episode: 46, Total Reward: -66.1047265496123, Epsilon: 0.7901049725470279
Episode: 47, Total Reward: -181.08699379315357, Epsilon: 0.7861544476842928
Episode: 48, Total Reward: 2.8311616597482328, Epsilon: 0.7822236754458713
Episode: 49, Total Reward: -79.13138853906166, Epsilon: 0.778312557068642
Episode: 50, Total Reward: -198.54352463757084, Epsilon: 0.7744209942832988
Episode: 51, Total Reward: -322.5011464399082, Epsilon: 0.7705488893118823
Episode: 52, Total Reward: -171.58314439397043, Epsilon: 0.7666961448653229
Episode: 53, Total Reward: -36.78457163014953, Epsilon: 0.7628626641409962
Episode: 54, Total Reward: -88.52976727620003, Epsilon: 0.7590483508202912
Episode: 55, Total Reward: -155.47347098615444, Epsilon: 0.7552531090661897
Episode: 56, Total Reward: -136.91159048459124, Epsilon: 0.7514768435208588
Episode: 57, Total Reward: -205.93280075404755, Epsilon: 0.7477194593032545
Episode: 58, Total Reward: -92.59458513894377, Epsilon: 0.7439808620067382
Episode: 59, Total Reward: -46.34150780315048, Epsilon: 0.7402609576967045
Episode: 60, Total Reward: -151.8543679412918, Epsilon: 0.736559652908221
Episode: 61, Total Reward: -131.20102912720566, Epsilon: 0.7328768546436799
Episode: 62, Total Reward: -117.74938689789573, Epsilon: 0.7292124703704616
Episode: 63, Total Reward: -129.61123930483782, Epsilon: 0.7255664080186093
Episode: 64, Total Reward: -154.78089933195216, Epsilon: 0.7219385759785162
Episode: 65, Total Reward: -518.79987462346, Epsilon: 0.7183288830986236
Episode: 66, Total Reward: -138.21210526948445, Epsilon: 0.7147372386831305
Episode: 67, Total Reward: -25.608563990921752, Epsilon: 0.7111635524897149
Episode: 68, Total Reward: -63.94596061767374, Epsilon: 0.7076077347272662
Episode: 69, Total Reward: -144.46314306160485, Epsilon: 0.7040696960536299
Episode: 70, Total Reward: -112.75496900492061, Epsilon: 0.7005493475733617
Episode: 71, Total Reward: -229.4972344755202, Epsilon: 0.697046600835495
Episode: 72, Total Reward: 35.953068032081546, Epsilon: 0.6935613678313175
Episode: 73, Total Reward: -109.19890049540712, Epsilon: 0.6900935609921609
Episode: 74, Total Reward: -152.01844275606447, Epsilon: 0.6866430931872001
Episode: 75, Total Reward: -179.07012610116183, Epsilon: 0.6832098777212641
Episode: 76, Total Reward: -147.98177100699792, Epsilon: 0.6797938283326578
Episode: 77, Total Reward: -121.38932413701725, Epsilon: 0.6763948591909945
Episode: 78, Total Reward: -126.31603609996267, Epsilon: 0.6730128848950395
Episode: 79, Total Reward: -114.30863871113618, Epsilon: 0.6696478204705644
Episode: 80, Total Reward: -103.07850704086444, Epsilon: 0.6662995813682115
Episode: 81, Total Reward: -204.41717140083034, Epsilon: 0.6629680834613705
Episode: 82, Total Reward: -160.96727808270828, Epsilon: 0.6596532430440636
Episode: 83, Total Reward: -88.4832953821153, Epsilon: 0.6563549768288433
Episode: 84, Total Reward: -259.11684452568977, Epsilon: 0.653073201944699
Episode: 85, Total Reward: -226.9955250149834, Epsilon: 0.6498078359349755
Episode: 86, Total Reward: -99.76581204475758, Epsilon: 0.6465587967553006
Episode: 87, Total Reward: -75.7341340592252, Epsilon: 0.6433260027715241
Episode: 88, Total Reward: -4.9831368529180935, Epsilon: 0.6401093727576664
Episode: 89, Total Reward: -95.9622014812784, Epsilon: 0.6369088258938781
Episode: 90, Total Reward: -141.3862946955005, Epsilon: 0.6337242817644086
Episode: 91, Total Reward: -58.75808593056844, Epsilon: 0.6305556603555866
Episode: 92, Total Reward: -119.07049134631374, Epsilon: 0.6274028820538087
Episode: 93, Total Reward: -130.06441517517277, Epsilon: 0.6242658676435396
Episode: 94, Total Reward: -84.76379211494003, Epsilon: 0.6211445383053219
Episode: 95, Total Reward: -158.30450247520957, Epsilon: 0.6180388156137953
Episode: 96, Total Reward: -112.92541300024979, Epsilon: 0.6149486215357263
Episode: 97, Total Reward: -125.93691026816383, Epsilon: 0.6118738784280476
Episode: 98, Total Reward: -180.18022284752413, Epsilon: 0.6088145090359074
Episode: 99, Total Reward: -111.0232558054612, Epsilon: 0.6057704364907278
